Year,Month,Nino12,Nino3,Nino34,Nino4,ONI,Condition,SOI,Subsurface_Anomaly
1950,1,22.3,24.8,24.3,27.8,-1.5,La_Nina,9.2,-1.8
1950,2,22.1,25.1,24.5,28.0,-1.3,La_Nina,11.5,-1.5
1950,3,23.5,25.8,25.2,28.2,-1.1,La_Nina,8.3,-1.2
1950,4,24.2,26.3,26.0,28.5,-0.8,Neutral,5.1,-0.6
1950,5,25.0,27.1,26.8,28.8,-0.3,Neutral,2.4,-0.2
1950,6,25.8,27.6,27.3,29.0,0.1,Neutral,-1.2,0.3
1950,7,26.2,28.0,27.5,29.1,0.4,Neutral,-3.5,0.5
1950,8,26.0,27.8,27.2,29.0,0.3,Neutral,-4.8,0.2
1950,9,25.5,27.3,26.8,28.8,0.0,Neutral,-2.1,-0.1
1950,10,25.0,26.8,26.5,28.5,-0.2,Neutral,1.5,-0.3
1950,11,24.5,26.5,26.2,28.3,-0.5,Neutral,4.2,-0.7
1950,12,24.0,26.2,25.8,28.0,-0.8,Neutral,6.8,-1.0
1951,1,23.5,25.8,25.2,27.8,-1.2,La_Nina,7.5,-1.5
1951,2,23.2,25.5,24.8,27.5,-1.5,La_Nina,9.8,-1.8
1951,3,23.8,26.0,25.5,27.8,-1.3,La_Nina,8.1,-1.5
1951,4,24.5,26.5,26.2,28.2,-0.9,Neutral,4.5,-0.8
1951,5,25.2,27.2,26.8,28.5,-0.4,Neutral,1.8,-0.3
1951,6,26.0,27.8,27.5,28.8,0.2,Neutral,-2.1,0.4
1951,7,26.5,28.2,27.8,29.0,0.5,El_Nino,-4.5,0.7
1951,8,26.8,28.5,28.1,29.2,0.8,El_Nino,-6.2,1.0
1951,9,26.5,28.2,27.8,29.0,0.6,El_Nino,-3.8,0.8
1951,10,26.0,27.8,27.5,28.8,0.3,Neutral,1.2,0.4
1951,11,25.5,27.3,26.8,28.5,-0.1,Neutral,3.5,-0.2
1951,12,25.0,26.8,26.2,28.2,-0.5,Neutral,5.8,-0.8
1957,1,22.0,25.2,25.0,27.8,-0.4,Neutral,3.2,-0.3
1957,2,22.8,25.8,25.8,28.0,0.2,Neutral,1.5,0.3
1957,3,23.5,26.5,26.5,28.2,0.6,El_Nino,-2.2,0.8
1957,4,24.2,27.2,27.2,28.5,1.0,El_Nino,-5.5,1.3
1957,5,25.0,27.8,27.8,28.8,1.3,El_Nino,-8.2,1.6
1957,6,25.5,28.2,28.2,29.0,1.5,El_Nino,-10.5,1.8
1957,7,25.8,28.5,28.5,29.2,1.6,El_Nino,-12.1,2.0
1957,8,25.5,28.2,28.2,29.0,1.4,El_Nino,-10.8,1.7
1957,9,25.2,27.8,27.8,28.8,1.2,El_Nino,-8.5,1.4
1957,10,24.8,27.5,27.3,28.5,0.9,El_Nino,-5.2,1.0
1957,11,24.5,27.2,26.8,28.2,0.6,El_Nino,-2.8,0.6
1957,12,24.2,27.0,26.5,28.0,0.3,Neutral,1.5,0.2
1965,1,21.8,24.5,24.0,27.5,-0.2,Neutral,2.5,-0.1
1965,2,22.5,25.2,24.8,27.8,0.3,Neutral,-0.5,0.5
1965,3,23.2,26.0,25.5,28.0,0.7,El_Nino,-3.2,1.0
1965,4,24.0,26.8,26.2,28.2,1.1,El_Nino,-6.5,1.5
1965,5,24.8,27.5,27.0,28.5,1.5,El_Nino,-9.8,1.9
1965,6,25.2,27.8,27.5,28.8,1.7,El_Nino,-12.2,2.1
1965,7,25.0,27.5,27.2,28.5,1.5,El_Nino,-10.5,1.8
1965,8,24.8,27.2,26.8,28.2,1.2,El_Nino,-8.2,1.4
1965,9,24.5,27.0,26.5,28.0,0.9,El_Nino,-5.5,1.0
1965,10,24.2,26.8,26.0,27.8,0.5,El_Nino,-2.8,0.5
1965,11,24.0,26.5,25.5,27.5,0.1,Neutral,1.5,0.0
1965,12,23.8,26.2,25.0,27.2,-0.3,Neutral,4.2,-0.5
1972,1,22.5,25.2,24.8,27.5,0.1,Neutral,1.8,0.2
1972,2,23.2,26.0,25.5,27.8,0.6,El_Nino,-3.2,0.8
1972,3,24.0,26.8,26.2,28.0,1.1,El_Nino,-6.5,1.5
1972,4,24.8,27.5,27.0,28.2,1.5,El_Nino,-9.8,2.0
1972,5,25.5,28.0,27.8,28.5,1.8,El_Nino,-12.5,2.3
1972,6,25.8,28.2,28.2,28.8,2.0,Super_El_Nino,-15.2,2.5
1972,7,26.0,28.5,28.5,29.0,2.1,Super_El_Nino,-16.8,2.6
1972,8,25.8,28.2,28.2,28.8,1.9,El_Nino,-14.5,2.3
1972,9,25.5,28.0,27.8,28.5,1.6,El_Nino,-11.2,1.9
1972,10,25.2,27.8,27.5,28.2,1.3,El_Nino,-7.8,1.5
1972,11,25.0,27.5,27.0,28.0,1.0,El_Nino,-4.5,1.0
1972,12,24.8,27.2,26.5,27.8,0.6,El_Nino,-1.2,0.5
1982,1,22.8,25.5,25.5,27.8,0.2,Neutral,0.5,0.5
1982,2,23.5,26.2,26.2,28.0,0.8,El_Nino,-3.5,1.2
1982,3,24.2,27.0,27.0,28.2,1.3,El_Nino,-7.2,1.8
1982,4,25.0,27.8,27.8,28.5,1.7,El_Nino,-10.5,2.2
1982,5,25.5,28.2,28.2,28.8,2.0,Super_El_Nino,-13.8,2.5
1982,6,25.8,28.5,28.5,29.0,2.2,Super_El_Nino,-16.5,2.7
1982,7,26.0,28.8,28.8,29.2,2.3,Super_El_Nino,-18.2,2.8
1982,8,26.2,29.0,29.0,29.5,2.4,Super_El_Nino,-19.5,2.9
1982,9,26.0,28.8,28.8,29.2,2.2,Super_El_Nino,-17.2,2.6
1982,10,25.8,28.5,28.5,29.0,2.0,Super_El_Nino,-14.5,2.3
1982,11,25.5,28.2,28.2,28.8,1.7,El_Nino,-10.8,1.9
1982,12,25.2,28.0,27.8,28.5,1.4,El_Nino,-7.2,1.5
1997,1,22.8,26.5,27.0,28.0,0.5,El_Nino,-3.2,1.2
1997,2,23.5,27.2,27.8,28.2,1.0,El_Nino,-7.5,1.8
1997,3,24.2,28.0,28.5,28.5,1.5,El_Nino,-10.8,2.3
1997,4,25.0,28.8,29.0,28.8,2.0,Super_El_Nino,-14.2,2.7
1997,5,25.5,29.2,29.2,29.0,2.2,Super_El_Nino,-16.5,2.9
1997,6,25.8,29.5,29.4,29.2,2.3,Super_El_Nino,-18.2,3.0
1997,7,26.0,29.8,29.5,29.2,2.4,Super_El_Nino,-19.5,3.1
